id,name,phone_number,address
54,Herr Zoran Schmidtke B.Eng.,(03286) 775742,"Martha-Metz-Ring 167, 38490 Kyritz"
55,Otfried Dobes,+49(0)9404 97727,"Sarah-Hahn-Gasse 28, 13474 Döbeln"
56,Ing. Alexandre Hethur B.Sc.,+49(0)7579539710,"Cora-Junck-Allee 714, 27879 Iserlohn"
57,Mattias Röhrdanz,(07456) 06877,"Isabell-Kambs-Straße 807, 72311 Parsberg"
58,Dr. Ercan Dowerg,+49 (0) 0467 128503,"Tschentscherring 7, 88693 Soest"
59,Rotraud Jäntsch-Werner,09584 885261,"Heuserstraße 5/9, 97651 Lichtenfels"
60,Karl-Otto Beier,+49(0) 798708832,"Pirmin-Dowerg-Weg 405, 60484 Diepholz"
61,Xenia Otto,(07952) 904482,"Zlatko-Trupp-Straße 500, 12324 Feuchtwangen"
62,Hannes Krause,06911 864291,"Anatol-Zirme-Weg 37, 07498 Hannoversch Münden"
63,Conrad Benthin,+49(0)4051 41110,"Junckplatz 2, 43051 Hamburg"
64,Zofia Bender B.A.,+49(0)9362 43606,"Södinggasse 6, 02472 Wesel"
65,Viola Trupp,+49(0)2598914387,"Tomasz-Schmidt-Weg 20, 94902 Siegen"
66,Enrico Ring,+49(0)9286 45652,"Nergerstr. 249, 58935 Reutlingen"
67,Prof. Roger Stey,+49 (0) 9675 955969,"Huhnweg 36, 64825 Naila"
68,Max Käster,+49(0)4900931598,"Etzlerring 5, 09481 Schleiz"
69,Hansjürgen Margraf-Seidel,+49 (0) 7794 111721,"Hagen-Junk-Ring 785, 20332 Burgdorf"
70,Dr. Joanna Jüttner B.A.,(04230) 714811,"Cilli-Otto-Platz 5, 98443 Pirmasens"
71,Emine Kranz,(08453) 873547,"Barkholzstr. 588, 52218 Bogen"
72,Maren Hellwig-Klemm,(02292) 712508,"Olena-Zorbach-Allee 9/0, 97014 Ochsenfurt"
73,Ing. Myriam Staude,0856132794,"Hans-Ulrich-Lachmann-Straße 082, 97369 Sangerhausen"
74,Prof. Cora Schenk MBA.,05880729383,"Friedbert-Dippel-Allee 61, 36869 Hainichen"
75,Leonardo Bruder,01500 04018,"Bruderallee 0/3, 82980 Wanzleben"
76,Karl-Heinrich Gutknecht,0779332665,"Gudestraße 56, 12634 Bremen"
77,Brigitte Tlustek-Scheibe,+49(0)0628 388648,"Pohlplatz 72, 37001 Osterode am Harz"
78,Clara Neureuther,+49(0)8168 58764,"Bernward-Trüb-Straße 43, 50427 Burg"
79,Adriana Trüb,+49 (0) 0910 952564,"Jüttnerstr. 67, 35395 Rathenow"
80,Priska Stadelmann,0095803012,"Dagmar-Misicher-Allee 33, 61851 Zschopau"
81,Frau Friedhilde Käster B.Eng.,00820 54331,"Conrad-Hecker-Gasse 116, 93770 Diepholz"
82,Univ.Prof. Theobald Bolander B.A.,+49(0)1194 994896,"Rosemarie-Junitz-Weg 2/8, 57846 Deggendorf"
83,Aline Zimmer,02721 32535,"Gumprichring 1, 37169 Bersenbrück"
84,Herwig Pieper,00670 317671,"Freia-Reichmann-Straße 580, 68816 Dinslaken"
85,Prof. Gitte Eberth B.Sc.,+49(0)0915112348,"Reisingstraße 6, 81353 Füssen"
86,Raisa Cichorius,+49 (0) 7853 281827,"Rosmarie-Sager-Platz 956, 92793 Senftenberg"
87,Udo Mielcarek,06181121976,"Friedrich-Karl-Röhricht-Ring 54, 57839 Luckau"
88,Liliana Austermühle B.Sc.,00849 954508,"Pergandestraße 5/8, 56778 Lübben"
89,Henryk Zirme,+49(0)6505 53703,"Kreuselweg 7, 08872 Sonneberg"
90,Dipl.-Ing. Waldtraut Hauffer B.Sc.,+49(0)2190850853,"Dörschnerweg 9/2, 13095 Miltenberg"
91,Cilli Bärer,0498904018,"Killerstr. 0/7, 72664 Zerbst"
92,Marisa Franke,06850 271952,"Killergasse 22, 35357 Lüdinghausen"
93,Abdullah Ziegert,(08061) 07140,"Textorstr. 800, 63429 Wesel"
94,Nuri Losekann-Gertz,+49(0) 071423247,"Pergandering 7, 08824 Waren"
95,Ing. Birgit Oestrovsky MBA.,+49(0) 455073121,"Riehlallee 2/8, 21384 Eckernförde"
96,Horst-Peter Barth,08859454817,"Jäkelstraße 703, 72893 Gelnhausen"
97,Doreen Trapp,+49 (0) 5384 987722,"Stefano-Otto-Platz 18, 38792 Halberstadt"
98,Robert Jockel,02946 195867,"Müllergasse 1, 65350 Donaueschingen"
99,Ottomar Wiek-Harloff,+49(0)7813 775049,"Erna-Hahn-Weg 0/6, 75616 Aue"
100,Gaetano Hande,+49(0) 927489507,"Birnbaumallee 25, 37832 Senftenberg"
101,Ansgar Schmiedt B.Eng.,0053867454,"Barthstr. 5, 29212 Vilsbiburg"
102,Dipl.-Ing. Meike Klingelhöfer,+49 (0) 5425 458439,"Herrmann-Pruschke-Gasse 4/0, 73624 Monschau"
103,Dr. Tülay Ullmann MBA.,0248454310,"Martinring 3, 01026 Weißenfels"
104,Marisa Wesack-Rust,(06979) 390612,"Wesackgasse 0, 77129 Cottbus"
105,Dipl.-Ing. Joanna Wesack,+49(0)7128 471892,"Atzlerallee 5/5, 16825 Main-Höchst"
106,Siegbert Koch,+49(0)4745314027,"Evelyne-Davids-Gasse 5/2, 58154 Pinneberg"
107,James Scholz,+49 (0) 7628 468369,"Heringplatz 2/1, 81700 Stadtsteinach"
108,Helmuth Schacht,+49(0) 158208454,"Briemerweg 8/0, 20590 Ochsenfurt"
109,Lissy Striebitz,+49(0)8002 805059,"Gitta-Gotthard-Ring 229, 74419 Main-Höchst"
110,Heidi Trommler,+49(0) 321129004,"Maurice-Renner-Platz 80, 74377 Pfaffenhofen an der Ilm"
111,Frau Gretel Krause,+49(0)8643060000,"Nada-Warmer-Gasse 7, 79815 Berchtesgaden"
112,Murat Söding,0014458355,"Luciano-Noack-Straße 5/7, 76265 Sankt Goar"
113,Edmund Kade-Reising,07260 23313,"Kobeltring 3/8, 02686 Wolgast"
114,Tadeusz Wulff,02416432447,"Jockelweg 7/3, 06818 Zossen"
115,Asta Trub,+49(0)9959 31288,"Margitta-Textor-Platz 6, 96292 Erding"
116,Elenore Schmidt,+49(0)3151 485549,"Dehmelgasse 410, 07532 Ludwigslust"
117,Robby Hübel,+49(0) 178671637,"Friedhold-Lindau-Ring 5, 82618 Guben"
118,Frau Ann Martin,(09131) 794701,"Corina-Herrmann-Gasse 729, 76470 Großenhain"
119,Peer Kühnert,+49(0)6203977841,"Niemeierallee 574, 01901 Starnberg"
120,Hans-Michael Mentzel-Holt,07166 008556,"Rognerallee 84, 39460 Backnang"
121,Claus Hövel,+49(0)7958 445113,"Gutknechtgasse 462, 79884 Beeskow"
122,Agnieszka Zänker,0365754526,"Karl-Heinrich-Ortmann-Weg 0/6, 33157 Hammelburg"
123,Lucie Hörle-Plath,+49(0)7213 85023,"Ursel-Häring-Gasse 1, 80390 Mühlhausen"
124,Ralf Löchel,09560691837,"Oliver-Ring-Allee 4, 26354 Anklam"
125,Hans-Karl Mosemann,+49 (0) 2244 127945,"Stumpfallee 795, 20651 Eichstätt"
126,Steffi Hornich MBA.,+49(0)8089 123645,"Conradiallee 555, 64276 Zschopau"
127,Karl Heinz Gierschner-Pieper,+49 (0) 2688 156406,"Vincent-Klapp-Straße 8, 23380 Sebnitz"
128,Prof. Friedl Kensy,+49 (0) 8875 710281,"Dörschnerstraße 5, 25023 Main-Höchst"
129,Dr. Dorota Otto,(09094) 039445,"Irmengard-Caspar-Ring 899, 79235 Burgdorf"
130,Katalin Faust-Bähr,(03461) 370603,"Sylvester-Walter-Straße 57, 18459 Schleiz"
131,Siegrid Thies,(08391) 93971,"Junckstr. 7, 97117 Gräfenhainichen"
132,Giovanni Reuter,(03988) 974289,"Gunpfstraße 8, 65544 Erding"
133,Svenja Ebert,+49(0)3323 29045,"Trübplatz 6, 85404 Bützow"
134,Raphaela Förster,+49(0)1596 72731,"Häringallee 522, 40174 Jessen"
135,Dr. Burkhardt Schleich,08333 61033,"Stiffelallee 5/3, 98401 Rastatt"
136,Minna Junken-Wilms,+49(0) 456907540,"Haasegasse 4/2, 99959 Rathenow"
137,Marica Eimer,+49(0)7892 037639,"Fanny-Herrmann-Allee 3/8, 09632 Aue"
138,Christa Gorlitz,(01919) 24100,"Kraushaarring 7, 19184 Apolda"
139,Univ.Prof. Klaus-Werner Naser B.A.,+49(0)7412805362,"Hans-Erich-Hertrampf-Platz 04, 10165 Pfaffenhofen an der Ilm"
140,Ernst-Dieter Wagenknecht,(00525) 16119,"Mesut-Dietz-Ring 8, 78073 Rathenow"
141,Dennis Stolze,+49(0)5232 76628,"Jesselallee 39, 67450 Dachau"
142,Frau Stefanie Rogner B.Eng.,02829842545,"Hasso-Kroker-Ring 3, 27199 Parchim"
143,Ortrun Gehringer,(08711) 52537,"Fliegnerweg 3, 31741 Gütersloh"
144,Herr Jakob Schmiedecke MBA.,+49(0)7543 441047,"Mark-Reinhardt-Gasse 46, 28708 Lichtenfels"
145,Kristiane Niemeier,06524 81592,"Beerweg 2/2, 03732 Herford"
146,Prof. Inna Zobel B.Eng.,05976521129,"Preißweg 69, 78588 Schwandorf"
147,Jochen Davids B.Eng.,(05551) 853935,"Erdal-Martin-Allee 9/5, 88251 Kemnath"
148,Angelika Ziegert,+49(0) 339814124,"Beyerallee 59, 13269 Jülich"
149,Frau Christin Binner,05945 47945,"Karl-Georg-Müller-Weg 4/9, 74936 Bamberg"
150,Guido Misicher,00725 155187,"Neureutherplatz 15, 61699 Magdeburg"
151,Lieselotte Zimmer-Gröttner,(03007) 41175,"Anatol-Heß-Platz 115, 91358 Greiz"
152,Herr Massimo Riehl B.A.,+49(0)5798 26346,"Lachmannweg 8, 84231 Freising"
153,Alexandra Gute,04387 39226,"Alfonso-Kreusel-Ring 4/9, 49975 Sonneberg"
154,Dipl.-Ing. Sabrina Rose,05712 245609,"Mentzelgasse 25, 45700 Burglengenfeld"
155,Dr. Gülsen Holt,00100 032174,"Ritterweg 7, 49810 Lichtenfels"
156,Frederik Holsten,0412166529,"Ditmar-Bolander-Weg 017, 36275 Delitzsch"
157,Ing. Branka Hellwig B.A.,+49 (0) 5858 000144,"Tschentscherweg 564, 58413 Hersbruck"
158,Lucie Nette B.Eng.,+49(0)7045 963234,"Georgia-Zirme-Gasse 6, 15068 Marienberg"
159,Dipl.-Ing. Nils Geißler,05646006212,"Belinda-Schacht-Straße 2, 30059 Coburg"
160,Marlen Henschel-Kroker,+49 (0) 8961 775183,"Röhrichtallee 359, 78538 Vechta"
161,Univ.Prof. Roderich Putz B.Sc.,0591470835,"Möchlichenstr. 3, 68490 Freudenstadt"
162,Heini Meister,(04648) 612406,"Claire-Krause-Straße 2, 41740 Rathenow"
163,Sevim Fiebig MBA.,+49(0)2670131462,"Mechtild-Bohlander-Gasse 7, 04023 Mellrichstadt"
164,Armin Mälzer,+49(0) 304231550,"Miesstr. 0, 44828 Luckenwalde"
165,Beatrice Fechner B.Eng.,(04867) 238770,"Sigfried-Martin-Straße 908, 47820 Warendorf"
166,Chantal Schomber,09892 44283,"Joana-Hamann-Allee 09, 78798 Regen"
167,Ramazan Weimer,05937 00179,"Hartungplatz 90, 53854 Düren"
168,Dipl.-Ing. Dorle Schomber B.Sc.,08396 84140,"Haasestraße 25, 50882 Hildesheim"
169,Elwira Zobel-Nette,+49(0)4282 798065,"Loni-Jäkel-Ring 335, 62097 Donaueschingen"
170,Marliese Kaul-Heß,00590 88564,"Etzlerring 712, 49888 Eichstätt"
171,Prof. Imre Etzold,05044 09228,"Rosestr. 77, 34842 Aue"
172,Ferenc Reichmann,01501 66450,"Rolf-Peter-Stolze-Straße 970, 82812 Badalzungen"
173,Karlheinz Mälzer-Rosenow,(05899) 72778,"Nergerplatz 747, 45837 Neuss"
174,Gudula Freudenberger,+49(0)2756933625,"Herwig-Radisch-Ring 53, 63491 Bad Kissingen"
175,Achim Binner,+49(0)5924 30959,"Krausstraße 80, 00904 Wolfenbüttel"
176,Prof. Christina Stiffel,04497 39209,"Julian-Rose-Gasse 34, 33603 Northeim"
177,Loni Steinberg-Rogge,0724231945,"Lissy-Jopich-Weg 93, 68574 Biedenkopf"
178,Lilly Weitzel,+49(0)0883 16190,"Liebeltgasse 1/3, 17151 Mühldorf am Inn"
179,Hans-Bernd Koch II MBA.,07488309123,"Winfried-Walter-Platz 238, 70216 Malchin"
180,Arnulf Pieper B.Eng.,+49(0) 940515585,"Weihmannstr. 8/1, 70546 Heinsberg"
181,Hannah Karge,01283 13432,"Wirthstr. 7, 87861 Großenhain"
182,Harriet Mude-Ditschlerin,+49(0)9882820106,"Natalia-Sontag-Gasse 31, 80126 Dinkelsbühl"
183,Tadeusz Jäkel,+49(0)6195 980140,"Pergandestr. 133, 02562 Grevenbroich"
184,Prof. Bernhard Mans MBA.,00569 316952,"Minna-Schmiedecke-Gasse 2, 66365 Neuss"
185,Dipl.-Ing. Michelle Gunpf,+49(0) 633362771,"Dimitrios-Benthin-Straße 334, 77475 Karlsruhe"
186,Marija Klapp,08196 80823,"Hermannring 2, 66993 Luckenwalde"
187,Leonore Finke,05787015777,"Röhrichtstr. 3, 53864 Kusel"
188,Luzia Junken-Keudel,(06042) 636047,"James-Geisler-Platz 3, 53029 Goslar"
189,Meta Zobel B.Eng.,(06261) 252781,"Mangoldgasse 01, 58672 Jena"
190,Luitgard Dobes,+49(0)3557 404681,"Schollgasse 3, 78208 Nördlingen"
191,Vincent Paffrath-Schmidtke,0585512301,"Karlheinz-Steuer-Weg 4, 65798 Göppingen"
192,Hinrich Hesse B.Sc.,09267 788275,"Mohauptstr. 6/5, 43009 Hamburg"
193,Adelheid Biggen,(04391) 65903,"Kadering 59, 28337 Cottbus"
194,Emilia Fischer,06555 86693,"Ignaz-Naser-Gasse 5/6, 36271 Eichstätt"
195,Friederike Pechel,+49 (0) 4211 486784,"Ivanka-Weiß-Platz 4, 75187 Beilngries"
196,Volkmar Rust B.Eng.,+49(0)9098 980107,"Martinweg 06, 79905 Vohenstrauß"
197,Margita Matthäi,07156 292224,"Geiselstraße 1/9, 17095 Schwäbisch Gmünd"
198,Prof. Aldo Kranz,+49(0) 658105402,"Hanspeter-Hänel-Allee 0/6, 42676 Bergzabern"
199,Univ.Prof. Lisette Dobes,02307 54432,"Cengiz-Bauer-Straße 7, 54257 Helmstedt"
200,Dipl.-Ing. Grazyna Martin,(07790) 01459,"Schaafstr. 5/3, 14599 Sömmerda"
201,Katharine Trüb,+49 (0) 6225 496217,"Reinhild-Siering-Weg 5, 77735 Zossen"
202,Herr Erkan Finke MBA.,+49 (0) 6166 069216,"Atzlerweg 137, 63319 Perleberg"
203,Brita Riehl,0872306941,"Fechnerallee 43, 75727 Einbeck"
204,Dr. Kati Krebs B.A.,+49(0)5596239391,"Hans-Martin-Heser-Straße 3, 26370 Eutin"
205,Ing. Erdal Karz,(09667) 03996,"Leyla-Förster-Weg 531, 37634 Pegnitz"
206,Annett Drubin,+49(0)8682 07500,"Irmgard-Fliegner-Straße 39, 10893 Roding"
207,Dipl.-Ing. Luciano Kobelt B.Eng.,(01532) 12667,"Camilla-Preiß-Platz 35, 50748 Burglengenfeld"
208,Kornelius Börner,06451 84908,"Oestrovskyweg 5, 44309 Grevesmühlen"
209,Univ.Prof. Nils Jacobi Jäckel,0237435475,"Rebekka-Stadelmann-Ring 0/1, 65903 Weißenfels"
210,Dorothea Tschentscher,+49 (0) 9024 291529,"Schmiedeckering 29, 96794 Weißenfels"
211,Else Rädel-Reichmann,+49(0)6350 96470,"Arnd-Ruppersberger-Ring 2, 94263 Stade"
212,Irena Kuhl,+49(0)6268631754,"Haufferstr. 301, 56800 Wolfenbüttel"
213,Gesa Hartmann-Lindau,00630593324,"Sauerstr. 6/9, 54328 Hamburg"
214,Gunda Kroker B.A.,0262541747,"Zoltan-Wagner-Weg 76, 49548 Eutin"
215,Wolfhard Flantz,0888724023,"Börnerallee 82, 89634 Merseburg"
216,Dipl.-Ing. Nadin Wirth B.Eng.,09251 034224,"Henckgasse 4, 72274 Kyritz"
217,Wolf-Dieter Freudenberger-Ditschlerin,05999 91018,"Hans-Peter-Heinrich-Ring 0/8, 08480 Forst"
218,Heino Weihmann,00444719661,"Sölzerstr. 852, 72206 Sigmaringen"
219,Hildburg Seip,+49(0) 083597543,"Sieglinde-Jäkel-Ring 79, 11836 Hechingen"
220,Henning Beer MBA.,+49 (0) 2721 257424,"Kitzmanngasse 30, 76880 Höxter"
221,Trudi Killer,(05518) 54060,"Beerallee 55, 37889 Fallingbostel"
222,Dorothee Ditschlerin,03606 17051,"Ronald-Etzold-Gasse 28, 20480 Neubrandenburg"
223,Evi Benthin,07944 158329,"Andreas-Ebert-Gasse 713, 81728 Hannover"
224,Gunda Butte,04645496998,"Köhlerweg 729, 70580 Pegnitz"
225,Tania Juncken-Stiffel,+49(0)3872 312443,"Schusterstraße 702, 86999 Gunzenhausen"
226,Miroslawa Weiß,(02562) 69653,"Clemens-Löwer-Gasse 1, 81652 Bischofswerda"
227,Anita Hartmann,02318366415,"Waltraud-Ritter-Straße 0/1, 25508 Sondershausen"
228,Prof. Siegmar Zänker MBA.,00898 85815,"Atzlerring 45, 72109 Neustadt am Rübenberge"
229,Kristina Becker,+49(0)4365271943,"Halina-Bien-Gasse 469, 86675 Holzminden"
230,Hagen Naser B.A.,06349644999,"Gretel-Roht-Weg 34, 76896 Saarbrücken"
231,Pietro Blümel,(03553) 447638,"Jockelstraße 6/2, 70801 Euskirchen"
232,Francesco Sager-Gröttner,(04184) 33297,"Bianca-Fritsch-Gasse 8/1, 79870 Grimma"
233,Aleksandra Thanel,(08458) 67967,"Eleonora-Wohlgemut-Gasse 546, 91229 Hannoversch Münden"
234,Julian Lachmann,+49(0)4576 558147,"Römerweg 905, 56164 Angermünde"
235,Nelly Kitzmann,02612 522616,"Hilmar-Wilms-Allee 14, 91983 Gräfenhainichen"
236,Prof. Silvana Seip MBA.,+49 (0) 5379 579253,"Zahnstraße 299, 61862 Altentreptow"
237,Univ.Prof. Georgia Plath,01871 625591,"Margarete-Barkholz-Weg 2/2, 97881 Wittenberg"
238,Ahmad Tröst,+49(0) 420594815,"Gülay-Schäfer-Gasse 04, 51808 Borna"
239,Ismet Kitzmann,+49(0)4562 068148,"Ricarda-Bolzmann-Allee 0/1, 45271 Schwandorf"
240,Dipl.-Ing. Dorit Trupp B.A.,+49(0)7356007607,"Mosemannplatz 968, 62354 Duderstadt"
241,Thea Hertrampf,+49(0) 541305830,"Jüttnerstraße 025, 82250 Wolfach"
242,Burkhard Wende,+49 (0) 1386 359301,"Holstenring 792, 46490 Nauen"
243,Univ.Prof. Diane Heuser B.Eng.,0926754917,"Gutknechtallee 0/8, 77897 Miltenberg"
244,Oda Seifert-Bärer,0570634724,"Röhrdanzallee 71, 32625 Deggendorf"
245,Jolanthe Schacht,+49(0)2892 016960,"Krebsweg 1/8, 92926 Suhl"
246,Baptist Rust,(02433) 66495,"Ljiljana-Wende-Straße 26, 46870 Gelnhausen"
247,Ilhan Fröhlich,(01723) 55732,"Heinweg 48, 51211 Mayen"
248,Prof. Karl-Heinz Schleich,(07870) 04662,"Winklerstraße 329, 59894 Vechta"
249,Annelies Pechel,+49(0)0921 70165,"Klaus-Günter-Döhn-Straße 021, 01069 Anklam"
250,Herr Dogan Schmiedecke B.Eng.,+49(0)1174 139235,"Camilla-Klapp-Gasse 21, 71743 Neustadt am Rübenberge"
251,Gudrun Stolze,0945224751,"Rustweg 3, 28931 Finsterwalde"
252,Elias Gorlitz B.Eng.,+49(0) 755511936,"Georgine-Preiß-Allee 84, 70652 Stuttgart"
253,Hedi Davids,04441 43515,"Girschnergasse 0, 58192 Wetzlar"
254,Olaf Reinhardt-Pärtzelt,+49 (0) 7837 696846,"Gerhardt-Rohleder-Gasse 29, 04585 Stade"
255,Prof. Aleksandra Klapp,(04587) 196086,"Wirthplatz 470, 21587 Schmölln"
256,Leszek Seidel MBA.,(01500) 46542,"Curt-Jüttner-Platz 378, 46604 Eberswalde"
257,Frau Natalija Reising B.A.,(09101) 74026,"Stollstr. 0, 55481 Oranienburg"
258,Kristine Patberg-Ruppersberger,00937 265054,"Tatiana-Wieloch-Allee 12, 16727 Kleve"
259,Hans-Karl Kraushaar B.Sc.,(03145) 77245,"Nikolaj-Kostolzin-Ring 3/4, 71316 Görlitz"
260,Frau Danica Holzapfel B.Eng.,(06463) 042265,"Arnulf-Schleich-Ring 598, 39829 Stadtsteinach"
261,Kay-Uwe Barkholz,+49(0)6947 08653,"Sebastiano-Jacob-Weg 7, 72885 Saulgau"
262,Isabell Pergande,+49 (0) 5354 370048,"Weitzelstraße 3/7, 43909 Ebern"
263,Antonina Ortmann,02953 15098,"Reza-Cichorius-Gasse 091, 37322 Greifswald"
264,Nikolaj Margraf-Rohleder,03155492788,"Halina-Ditschlerin-Allee 614, 03911 Saarlouis"
265,Cornelius Hauffer B.Sc.,+49 (0) 2116 019242,"Riehlring 749, 86941 Staßfurt"
266,Julie Rörricht B.Sc.,0399012390,"Benno-Seidel-Allee 2, 84755 Weißwasser"
267,Sylvana Klemt,+49(0)0481 04766,"Barbara-Kohl-Straße 680, 27663 Erding"
268,Univ.Prof. Augustin Patberg,+49 (0) 9838 774962,"Carmela-Knappe-Gasse 0/3, 20632 Hünfeld"
269,Prof. Belinda Fischer,0112844680,"Schäferplatz 12, 81596 Erkelenz"
270,Wiltrud Hartmann,0462251717,"Mosemannplatz 6, 94747 Brilon"
271,Dipl.-Ing. Marjan Rudolph B.A.,+49(0)5703 646245,"Truppplatz 105, 97734 Spremberg"
272,Tina Krause,+49 (0) 1929 524430,"Ottoplatz 7/8, 10125 Sondershausen"
273,Hans-Peter Dussen van B.Eng.,(01232) 95661,"Kösterstraße 022, 59289 Forchheim"
274,Norbert Mohaupt,+49(0)5581 871195,"Arnd-Buchholz-Gasse 70, 41767 Jessen"
275,Bettina Kramer B.A.,06555 160377,"Schwitalstr. 730, 75725 Bamberg"
276,Hugo Rohleder-Köhler,(01478) 37268,"Adeline-Adler-Allee 1, 75248 Badoberan"
277,Annelise Juncken MBA.,+49(0)5583 96799,"Jan-Stahr-Allee 7, 03238 Malchin"
278,Victoria Graf MBA.,0168629016,"Giuseppina-Vogt-Gasse 2/0, 84558 Melsungen"
279,Mirjam Weller,+49(0) 723156295,"Grein Grothallee 5, 20714 Malchin"
